book_id,Title,Price
1403300763,"FORCE, RECIPROCAL FORCE AND COMPRESSION CAUSE GRAVITY",13.5
B0007FXCVM,Triumph in the Philippines (United States Army in World War II. The War in the Pacific),
B000O3QCH8,From Potter's Field,
967038693,Love Rekindled: A Novel,12.97
836204271,Close to Home Revisited,
B0007ER3UO,The Starchild Trilogy,
70434425,Study Guide for Use With Financial Accounting,
932813062,Lost Cities of Africa and Arabia (The Lost City Series),11.66
B0006AUI9W,Lincoln reconsidered;: Essays on the Civil War era,
B0007H4QBK,Economics in one lesson,
441006450,Poltergeist: The Legacy 01: The Hidden Saint,
B00085GEUM,"Introduction to mathematical philosophy, (Library of Philosophy)",
1933112042,Chocolate: The Sweet History,
932592201,Book of KidsSongs 2: A Holler-Along Handbook For Home Or On The Range with Book (Bk. 2),
B0007IUTUQ,Important trees of the Ryukyu Islands (Tokubetsu hokoku),
312929331,The Web That Has No Weaver: Understanding Chinese Medicine,
671027182,A Titanic Journey Across the Sea 1912 (American Sisters),
1592290574,The ABAP Quick Reference,60
B0008AGXVW,Tales from silver lands,
263834956,Sheikh (Mills & Boon Historical),
20794207,Cassell's Colloquial French: A Handbook of Idiomatic Usage,
684178427,Are We Alone?: The Possibility of Extraterrestrial Civilizations,
710613776,Janes All the Worlds Aircraft 1996-97,
042519793X,The Science of Cold Case Files,19
B00088DVTQ,A Guide to Sequoia and General Grant National Parks,
081673447X,Spooky Kids: Strange But True Tales,
916458873,"A Prayer for the Government: Ukrainians and Jews in Revolutionary Times, 1917-1920 (Harvard Series in Ukrainian Studies)",
691115109,Islam and Mammon: The Economic Predicaments of Islamism,
1931055009,Gorilla,
882800590,Inside Folsom Prison: Transcendental Meditation and TM-Sidhi Program,
226143066,The Gift of Death (Religion and Postmodernism Series),
B000NRYUHO,Edge of Danger,
B000OV6MFM,Indiana Jones and the Lost Treasure of Sheba(find Your Fate adventure#2),
091934545X,Compendium of Herbal Magick,19.18
971198500,My Dog's Life: A Photo Journal of Unconditional Love,
B000GACQBK,"albert einstein, young thinker [ Childhood of Famous Americans series]",
B000LEZS0W,Hypatia or New Foes with an Old Face,
515110124,Daughter of the Reef,
B000N6DDJQ,The Scarlet Letter A Romance,
873950267,El Gaucho Martin Fierro/the Gaucho Martin Fierro (Bilingual Edition) (Spanish Edition),
B0007FHJG6,Alexander Campbell and Thomas Jefferson: A comparative study of two old Virginians,
1902934229,Dead Sexy,12.95
B000858H1Q,"""Eagle forgotten.""",
671424793,Arnold's Bodyshaping for Women,
1890460044,The Great Memory Book,36.95
1420837699,How to Become a Winner In Your Relationship: Let No One Move You from the Place God Put You,17.5
1566841275,Cherry Blossoms at Night,
486406660,Selections from Don Quixote: A Dual-Language Book (Dover Dual Language Spanish),11.66
B000NP2B4K,The Unquiet Grave,
766010317,Isaac Asimov: Master of Science Fiction (People to Know),
